nid,aid
2304,42613
2305,14356
2306,48783
2307,58406
2308,32287
2309,48783
2310,40785
2311,32287
2312,14530
2313,45594
2314,23890
2315,58324
2316,16482
2317,23993
2318,11393
2319,43163
2320,11393
430,35161
2321,54531
2322,48783
2323,35161
2324,18017
2325,11393
2326,17
2327,45649
2328,35161
2329,60624
2330,22946
2331,23890
2332,5140
2333,23890
2334,17
2335,17
2336,54531
2337,29190
2338,43163
2339,17901
2340,32287
2341,45594
2342,17
2343,40711
2344,35161
2345,23890
2346,35161
2347,57212
2348,48783
2349,32403
2350,48783
2351,17901
2352,24173
2353,54531
2354,17
2355,23890
2356,23890
2357,5140
2358,49007
2359,23890
2360,48783
2361,57212
2362,29237
2363,20118
2364,57212
2365,35161
2366,5140
2367,35161
2368,20118
2369,16482
2370,35559
2371,32287
2372,57229
2373,45816
2374,22903
2375,23890
2376,45594
2377,42613
2378,32287
2379,7630
2380,11471
2381,48783
2382,43163
2383,7534
2384,7534
2385,11393
2386,43163
2387,40711
2388,56977
2389,14361
2390,58324
2391,29190
2392,16482
2393,48783
2394,23884
2395,20118
2396,17
2397,17
2398,23890
2399,7761
2400,60624
2401,16482
2402,43163
2403,14356
2404,23890
2405,54531
2406,29190
2407,5149
2408,5140
2409,48783
2410,17901
2411,382
2412,17901
2413,43163
2414,35161
2415,17
2416,43163
2417,17901
2418,45800
2419,35161
2420,11393
2421,48783
2422,45594
2423,24322
2424,143
2425,22903
2426,48783
2427,35161
2428,60624
2429,48783
2430,22903
2431,23890
2432,11393
2433,16482
2434,11393
2435,17
2436,5140
2437,48828
2438,23919
2439,40753
2440,45686
2441,54531
2442,60624
2443,35161
2444,84
2445,29190
2446,17
2447,17
2448,23890
2449,35228
2450,48828
2451,17
2452,17901
2453,58324
2454,14356
2455,22910
2456,35161
2457,57212
2458,17956
2459,35161
2460,60624
2461,35161
2462,17
2463,43212
2464,54531
2465,48783
2466,7534
2467,11393
2468,7534
2469,17901
2470,18033
2471,16482
2472,29190
2473,29190
2474,11393
2475,45594
2476,5140
469,35161
2477,60624
2478,341
2479,57212
2480,5140
2481,17
2482,17901
2483,17
2484,23890
2485,48828
2486,29190
2487,60624
2488,23890
2489,40711
2490,45594
2491,35161
2492,17
2493,40711
2494,23890
2495,32403
2496,45594
2497,32287
2498,45594
2499,11398
2500,11393
2501,14356
2502,48783
2503,11537
2504,35161
2505,23890
2506,22903
2507,23890
2508,48783
2509,18024
2510,17
2511,22903
1362,48783
2512,17
1348,17
